No.,공연명,카테고리,장르,시작일,종료일,공연시설,공연장,객석수(석),지역,제작,기획,주최,주관
1,백설공주 [광주],뮤지컬,CREATIVE,2026.02.01,2026.02.28,롯데마트 [월드컵],행복을 주는 가족극장,50,광주,,,행복을 주는 가족극장,
2,"KBS교향악단과 함께하는 임산부를 위한 태교 음악회: 용인시, 생명의 선율을 듣다",서양음악(클래식),ORCHESTRA,2026.01.31,2026.01.31,용인시평생학습관 (여성회관),큰어울마당,599,경기,(재)용인문화재단,,(재)용인문화재단,(재)KBS교향악단
3,"대전재즈협회 정기공연, KC Bridge (1월)",대중음악,JAZZ,2026.01.31,2026.01.31,옐로우택시,옐로우택시,50,대전,,,대전재즈협회,대전재즈협회
4,최현호 & 홍유진 피아노 듀오 리사이틀,서양음악(클래식),RECITAL,2026.02.02,2026.02.02,금호아트홀 연세,금호아트홀 연세,390,서울,이든예술기획(주),,이든예술기획(주),
5,언젠가 나를 다시 찾을 날이 오겠지,연극,DRAMA,2026.01.31,2026.02.01,보광극장,보광극장,30,서울,,보광극단,창작예술집단 보광극장,보광극단
6,"토요재즈살롱 LIVE IN 인천 송도, 김광용 QUARTET",대중음악,JAZZ,2026.01.31,2026.01.31,카페와안,2층 공연장,0,인천,,,별들의도시,
7,어쩌다 하루 [대학로],연극,DRAMA,2026.01.28,2026.02.01,씨어터조이 (구. 마당세실극장),씨어터조이 (구. 마당세실극장) ,100,서울,씨어터조이,극단 mate,모노프로젝트(MODEST Ent),모노프로젝트(MODEST Ent)
8,"너트30 페스티벌, 크라잉넛 with 잔나비",대중음악,BALLAD,2025.10.29,2025.10.29,KT&G 상상마당 라이브홀 [마포],KT&G 상상마당 라이브홀 [마포] ,150,서울,KT&G 상상마당,,KT&G 상상마당,KT&G 상상마당
9,Winter Theatre Series Ⅰ. 쉬어매드니스 [대구],연극,DRAMA,2026.01.31,2026.01.31,대구서구문화회관,공연장,452,대구,대구광역시 서구문화회관,,대구광역시 서구문화회관,대구광역시 서구문화회관
10,"소년소녀병 기림 행사: 소년의 눈으로, 소년을 기억하라 [대구]",뮤지컬,CREATIVE,2025.10.28,2025.10.28,수성아트피아,대극장 (대공연장) ,"1,159",대구,,,대구광역시청,대구광역시청
11,공룡 구출대작전 [의정부],연극,DRAMA,2026.02.01,2026.02.01,우리소극장 [의정부],우리소극장 [의정부],50,경기,,,극단 상상마당컴퍼니(의정부 우리소극장),
12,집들이콘서트 #47. 타오르는 어둠 속에서,뮤지컬,CREATIVE,2026.02.02,2026.02.02,링크아트센터,페이코홀,470,서울,(주) 라슨컴퍼니,(주) 라슨컴퍼니,(주) 라슨컴퍼니,
13,LIVE in SETi Vol.73,대중음악,BALLAD,2026.02.02,2026.02.02,세티 라이브홀 (SETI LIVE HALL),세티 라이브홀 (SETI LIVE HALL) ,0,서울,,,"세티 라이브홀(SETi LIVE HALL), (주) 수소엔터테인먼트 (SOOSO Ent.)",
14,찔레꽃 [산청],연극,DRAMA,2025.11.27,2025.11.27,큰들마당극마을,까망극장,0,경남,,,극단 큰들,
15,정담온 클라리넷 독주회,서양음악(클래식),RECITAL,2026.01.29,2026.01.29,꿈의숲아트센터,콘서트홀,301,서울,주식회사 원아트,,주식회사 원아트,
16,님만헤민 게스트하우스,뮤지컬,CREATIVE,2026.01.08,2026.04.05,선돌극장,선돌극장,130,서울,HK컴퍼니,,HK컴퍼니,극단 흥
17,에스솔로이스츠 10주년 정기연주회,서양음악(클래식),CHAMBER,2026.01.30,2026.01.30,거암아트홀,거암아트홀,144,서울,에스 솔로이스츠 (S SOLOISTS),,에스 솔로이스츠 (S SOLOISTS),에스클래식
18,초조한 마음 리딩 쇼케이스,뮤지컬,CREATIVE,2026.01.26,2026.01.26,더 서울라이티움 (갤러리아포레),G층 전용관,800,서울,"네버엔딩플레이(N.E.P Contents), (주)나오인컬쳐","네버엔딩플레이(N.E.P Contents), (주)나오인컬쳐",,
19,"제91회 끌로드 살롱콘서트, 앙상블 톤즈: 겨울의 끝에서",서양음악(클래식),CHAMBER,2026.01.29,2026.01.29,끌로드아트홀,끌로드아트홀,50,제주,예술기획 끌로드,,예술기획 끌로드,
20,필하모닉 앙상블 신년음악회 [논산],서양음악(클래식),CHAMBER,2026.02.01,2026.02.01,논산아트센터(구. 논산문화예술회관),대공연장,560,충남,,,논산시청,논산문화관광재단
